station_eu_code;id_regione;id_provincia;id_comune;station_code;Regione;Provincia;Comune;nome_stazione;tipo_zona;tipo_stazione;TIPO;Lon;Lat;yy;n;sup25;sup15;media_yy;minimo;perc5;perc25;perc50;perc75;perc95;perc99.2;massimo;copertura;superamenti_ma;superamenti_ma10;superamenti_ma5;range_y;mappa_y;superamenti_d;superamenti_d15;range_d;range_d15;mappa_d;mappa_d15
IT2011A;20.0;111.0;20111082.0;2009239.0;Sardegna;Sud Sardegna;Seulo;CENSE0;RURALE-REMOTA;FONDO;RF;9.216389;39.8425;2021;344;4;7;5.0;3.0;3.0;4.0;4.0;6.0;11.0;26.0;46.0;1;0.0;0.0;0.0;"(0;5]";1;0;1;"(3;18]";"(3;18]";2;2
IT2297A;19.0;82.0;19082053.0;1908273.0;Sicilia;Palermo;Palermo;PA - UNIPA;URBANA;FONDO;UF;13.34653;38.105096;2021;362;9;87;12.0;3.0;5.0;8.0;11.0;15.0;23.0;28.0;40.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT1997A;19.0;83.0;19083049.0;1908369.0;Sicilia;Messina;Milazzo;Milazzo - Termica;SUBURBANA;FONDO;SF;15.249112;38.190608;2021;210;5;43;12.0;4.0;5.0;8.0;11.0;14.0;22.0;27.0;30.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1997A;19.0;83.0;19083049.0;1908369.0;Sicilia;Messina;Milazzo;Milazzo - Termica;SUBURBANA;FONDO;SF;15.249112;38.190608;2022;324;9;88;13.0;4.0;6.0;9.0;12.0;16.0;22.0;32.0;41.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT2281A;19.0;84.0;19084001.0;1908498.0;Sicilia;Agrigento;Agrigento;AG - ASP;SUBURBANA;FONDO;SF;13.593963;37.307047;2017;282;4;17;9.0;0.0;3.0;6.0;8.0;11.0;16.0;27.0;30.0;0;0.0;0.0;1.0;"(5;10]";0;0;1;"(3;18]";"(3;18]";0;0
IT2281A;19.0;84.0;19084001.0;1908498.0;Sicilia;Agrigento;Agrigento;AG - ASP;SUBURBANA;FONDO;SF;13.593963;37.307047;2018;322;3;14;8.0;0.0;3.0;6.0;7.0;11.0;14.0;25.0;38.0;1;0.0;0.0;1.0;"(5;10]";2;0;1;"(-Inf;3]";"(3;18]";1;2
IT2281A;19.0;84.0;19084001.0;1908498.0;Sicilia;Agrigento;Agrigento;AG - ASP;SUBURBANA;FONDO;SF;13.593963;37.307047;2019;314;1;34;9.0;0.0;3.0;5.0;8.0;11.0;18.0;22.0;33.0;1;0.0;0.0;1.0;"(5;10]";2;0;1;"(-Inf;3]";"(18; Inf]";1;3
IT2281A;19.0;84.0;19084001.0;1908498.0;Sicilia;Agrigento;Agrigento;AG - ASP;SUBURBANA;FONDO;SF;13.593963;37.307047;2020;350;6;22;8.0;0.0;3.0;5.0;7.0;10.0;16.0;31.0;42.0;1;0.0;0.0;1.0;"(5;10]";2;0;1;"(3;18]";"(18; Inf]";2;3
IT2281A;19.0;84.0;19084001.0;1908498.0;Sicilia;Agrigento;Agrigento;AG - ASP;SUBURBANA;FONDO;SF;13.593963;37.307047;2021;315;12;38;9.0;0.0;3.0;5.0;8.0;11.0;22.0;38.0;41.0;1;0.0;0.0;1.0;"(5;10]";2;0;1;"(3;18]";"(18; Inf]";2;3
IT2307A;19.0;84.0;19084001.0;1908401.0;Sicilia;Agrigento;Agrigento;AG - Monserrato;SUBURBANA;FONDO;SF;13.551601;37.29924;2021;237;13;33;11.0;2.0;4.0;7.0;9.0;12.0;26.0;46.0;57.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
