station_eu_code;id_regione;id_provincia;id_comune;station_code;Regione;Provincia;Comune;nome_stazione;tipo_zona;tipo_stazione;TIPO;Lon;Lat;yy;n;sup25;sup15;media_yy;minimo;perc5;perc25;perc50;perc75;perc95;perc99.2;massimo;copertura;superamenti_ma;superamenti_ma10;superamenti_ma5;range_y;mappa_y;superamenti_d;superamenti_d15;range_d;range_d15;mappa_d;mappa_d15
IT1611A;16.0;73.0;16073027.0;1607377.0;Puglia;Taranto;Taranto;taranto MACHIAVELLI;SUBURBANA;INDUSTRIALE;SI;17.22583;40.48861;2021;350;9;66;11.0;4.0;5.0;8.0;10.0;14.0;21.0;28.0;66.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT1611A;16.0;73.0;16073027.0;1607377.0;Puglia;Taranto;Taranto;taranto MACHIAVELLI;SUBURBANA;INDUSTRIALE;SI;17.22583;40.48861;2022;364;3;56;11.0;3.0;5.0;8.0;11.0;14.0;20.0;26.0;33.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(-Inf;3]";"(18; Inf]";1;3
IT1613A;16.0;73.0;16073027.0;1607375.0;Puglia;Taranto;Taranto;taranto ADIGE;URBANA;TRAFFICO;UT;17.26333;40.46055556;2008;78;5;28;14.0;6.0;6.0;8.0;12.0;18.0;28.0;38.0;40.0;0;0.0;1.0;1.0;"(10;15]";0;0;1;"(3;18]";"(18; Inf]";0;0
IT1613A;16.0;73.0;16073027.0;1607375.0;Puglia;Taranto;Taranto;taranto ADIGE;URBANA;TRAFFICO;UT;17.26333;40.46055556;2009;351;23;143;15.0;4.0;7.0;10.0;14.0;19.0;26.0;32.0;46.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1613A;16.0;73.0;16073027.0;1607375.0;Puglia;Taranto;Taranto;taranto ADIGE;URBANA;TRAFFICO;UT;17.26333;40.46055556;2011;331;30;154;16.0;5.0;8.0;11.0;15.0;19.0;28.0;42.0;46.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
IT2144A;16.0;72.0;16072027.0;1607298.0;Puglia;Bari;Modugno;EN02 - ass. ecologia;SUBURBANA;INDUSTRIALE;SI;16.766111;41.107778;2016;329;27;132;15.0;3.0;6.0;10.0;13.0;18.0;28.0;41.0;48.0;1;0.0;1.0;1.0;"(10;15]";3;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1611A;16.0;73.0;16073027.0;1607377.0;Puglia;Taranto;Taranto;taranto MACHIAVELLI;SUBURBANA;INDUSTRIALE;SI;17.22583;40.48861;2015;349;28;166;16.0;0.0;7.0;11.0;15.0;20.0;27.0;36.0;39.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
IT1609A;16.0;73.0;16073027.0;1607378.0;Puglia;Taranto;Taranto;Taranto CISI;SUBURBANA;INDUSTRIALE;SI;17.2536;40.52111;2015;343;4;71;11.0;3.0;4.0;7.0;10.0;14.0;20.0;27.0;37.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT1613A;16.0;73.0;16073027.0;1607375.0;Puglia;Taranto;Taranto;taranto ADIGE;URBANA;TRAFFICO;UT;17.26333;40.46055556;2012;348;8;103;13.0;3.0;6.0;9.0;12.0;17.0;24.0;31.0;47.0;1;0.0;1.0;1.0;"(10;15]";3;0;1;"(3;18]";"(18; Inf]";2;3
IT1609A;16.0;73.0;16073027.0;1607378.0;Puglia;Taranto;Taranto;Taranto CISI;SUBURBANA;INDUSTRIALE;SI;17.2536;40.52111;2013;26;0;3;9.0;3.0;4.0;5.0;8.0;12.0;16.0;17.0;18.0;0;0.0;0.0;1.0;"(5;10]";0;0;0;"(-Inf;3]";"(-Inf;3]";0;0
IT1609A;16.0;73.0;16073027.0;1607378.0;Puglia;Taranto;Taranto;Taranto CISI;SUBURBANA;INDUSTRIALE;SI;17.2536;40.52111;2014;340;3;28;9.0;3.0;4.0;6.0;9.0;12.0;17.0;24.0;38.0;1;0.0;0.0;1.0;"(5;10]";2;0;1;"(-Inf;3]";"(18; Inf]";1;3
IT2144A;16.0;72.0;16072027.0;1607298.0;Puglia;Bari;Modugno;EN02 - ass. ecologia;SUBURBANA;INDUSTRIALE;SI;16.766111;41.107778;2018;357;42;200;17.0;3.0;7.0;12.0;16.0;21.0;28.0;39.0;41.0;1;0.0;1.0;1.0;"(15;20]";4;1;1;"(18; Inf]";"(18; Inf]";3;3
